Generator : Random,Difficulty : 12,Nb Planes : 20
Resolved,Backtracks,Time
1,0,3
1,0,1
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 50
Resolved,Backtracks,Time
1,0,11
1,0,17
Generator : Random,Difficulty : 12,Nb Planes : 
